bgc_label,MAP_LABEL,ZONE,ZONE_NAME,SUBZONE,SUBZONE_NAME,VARIANT,VARIANT_NAME,bec_area,category,area_des,percent_des,area_des_ha
CMA unp,CMAunp,CMA,Coastal Mountain-heather Alpine,unp,Undifferentiated and Parkland,NA,NA,21221679783.87365,03_Exclude_1_2_Activities,2532363831.58908,11.932909446279638,253236.38315890753
CMA unp,CMAunp,CMA,Coastal Mountain-heather Alpine,unp,Undifferentiated and Parkland,NA,NA,21221679783.87365,04_Managed,7966188829.09725,37.53797489278276,796618.8829097247
CMA wh,CMAwh,CMA,Coastal Mountain-heather Alpine,wh,Wet Hypermaritime,NA,NA,28874990.86908184,01_PPA,17508665.0678126,60.63608867340006,1750.8665067812633
CMA wh,CMAwh,CMA,Coastal Mountain-heather Alpine,wh,Wet Hypermaritime,NA,NA,28874990.86908184,02_Protected_Other,0,0,0
CMA wh,CMAwh,CMA,Coastal Mountain-heather Alpine,wh,Wet Hypermaritime,NA,NA,28874990.86908184,03_Exclude_1_2_Activities,2840748.53665065,9.838093281242925,284.0748536650649
CMA wh,CMAwh,CMA,Coastal Mountain-heather Alpine,wh,Wet Hypermaritime,NA,NA,28874990.86908184,04_Managed,8525550.744107,29.52572619940049,852.5550744106997
CWH dm,CWHdm,CWH,Coastal Western Hemlock,dm,Dry Maritime,NA, ,5130363885.263656,01_PPA,311110138.558531,6.064094974864402,31111.013855853147
CWH dm,CWHdm,CWH,Coastal Western Hemlock,dm,Dry Maritime,NA, ,5130363885.263656,02_Protected_Other,69119337.76109,1.347259946991809,6911.933776109005
CWH dm,CWHdm,CWH,Coastal Western Hemlock,dm,Dry Maritime,NA, ,5130363885.263656,03_Exclude_1_2_Activities,339272891.11299,6.613037568105253,33927.28911129898
CWH dm,CWHdm,CWH,Coastal Western Hemlock,dm,Dry Maritime,NA, ,5130363885.263656,04_Managed,677994941.788405,13.215338267444581,67799.49417884047
CWH ds 1,CWHds1,CWH,Coastal Western Hemlock,ds,Dry Submaritime,1,Southern,2526467797.7448106,01_PPA,187352767.253006,7.415600840835646,18735.2767253006
CWH ds 1,CWHds1,CWH,Coastal Western Hemlock,ds,Dry Submaritime,1,Southern,2526467797.7448106,02_Protected_Other,9598925.24184816,0.3799345968476781,959.8925241848158
CWH ds 1,CWHds1,CWH,Coastal Western Hemlock,ds,Dry Submaritime,1,Southern,2526467797.7448106,03_Exclude_1_2_Activities,585395396.804731,23.17050695549216,58539.539680473106
CWH ds 1,CWHds1,CWH,Coastal Western Hemlock,ds,Dry Submaritime,1,Southern,2526467797.7448106,04_Managed,356192303.984159,14.09843039765262,35619.23039841591
CWH ds 2,CWHds2,CWH,Coastal Western Hemlock,ds,Dry Submaritime,2,Central,816584287.7055786,01_PPA,462293633.523844,56.613094384020904,46229.3633523844
CWH ds 2,CWHds2,CWH,Coastal Western Hemlock,ds,Dry Submaritime,2,Central,816584287.7055786,02_Protected_Other,0,0,0
CWH ds 2,CWHds2,CWH,Coastal Western Hemlock,ds,Dry Submaritime,2,Central,816584287.7055786,03_Exclude_1_2_Activities,49775290.3693335,6.095548385971403,4977.529036933348
CWH ds 2,CWHds2,CWH,Coastal Western Hemlock,ds,Dry Submaritime,2,Central,816584287.7055786,04_Managed,304514089.736766,37.29120120500765,30451.40897367659
CWH mm 1,CWHmm1,CWH,Coastal Western Hemlock,mm,Moist Maritime,1,Submontane,1506029511.1036549,01_PPA,147874954.981588,9.81886170830885,14787.495498158774
CWH mm 1,CWHmm1,CWH,Coastal Western Hemlock,mm,Moist Maritime,1,Submontane,1506029511.1036549,02_Protected_Other,0,0,0
CWH mm 1,CWHmm1,CWH,Coastal Western Hemlock,mm,Moist Maritime,1,Submontane,1506029511.1036549,03_Exclude_1_2_Activities,73748013.3820029,4.896850482561834,7374.8013382002955
CWH mm 1,CWHmm1,CWH,Coastal Western Hemlock,mm,Moist Maritime,1,Submontane,1506029511.1036549,04_Managed,435870462.587367,28.941694659618612,43587.04625873668
CWH mm 2,CWHmm2,CWH,Coastal Western Hemlock,mm,Moist Maritime,2,Montane,2279477907.3772297,01_PPA,304935608.285256,13.377432055751553,30493.560828525624
CWH mm 2,CWHmm2,CWH,Coastal Western Hemlock,mm,Moist Maritime,2,Montane,2279477907.3772297,02_Protected_Other,479061.202635595,0.021016268729132075,47.90612026355949
CWH mm 2,CWHmm2,CWH,Coastal Western Hemlock,mm,Moist Maritime,2,Montane,2279477907.3772297,03_Exclude_1_2_Activities,32723038.4509533,1.4355497083366973,3272.3038450953272
CWH mm 2,CWHmm2,CWH,Coastal Western Hemlock,mm,Moist Maritime,2,Montane,2279477907.3772297,04_Managed,718413914.26943,31.516599127562415,71841.39142694301
CWH ms 1,CWHms1,CWH,Coastal Western Hemlock,ms,Moist Submaritime,1,Southern,5134581235.431052,01_PPA,848423670.557737,16.523716962606617,84842.36705577372
CWH ms 1,CWHms1,CWH,Coastal Western Hemlock,ms,Moist Submaritime,1,Southern,5134581235.431052,02_Protected_Other,0,0,0
CWH ms 1,CWHms1,CWH,Coastal Western Hemlock,ms,Moist Submaritime,1,Southern,5134581235.431052,03_Exclude_1_2_Activities,1161306494.83231,22.61735556580035,116130.64948323055
CWH ms 1,CWHms1,CWH,Coastal Western Hemlock,ms,Moist Submaritime,1,Southern,5134581235.431052,04_Managed,399339042.20659,7.777441312077416,39933.90422065896
CWH ms 2,CWHms2,CWH,Coastal Western Hemlock,ms,Moist Submaritime,2,Central,1331623789.3764753,01_PPA,227903366.457509,17.114696228446245,22790.33664575086
CWH ms 2,CWHms2,CWH,Coastal Western Hemlock,ms,Moist Submaritime,2,Central,1331623789.3764753,02_Protected_Other,1005145.80864972,0.07548271641499953,100.51458086497155
CWH ms 2,CWHms2,CWH,Coastal Western Hemlock,ms,Moist Submaritime,2,Central,1331623789.3764753,03_Exclude_1_2_Activities,190126975.52432,14.277829597302835,19012.697552431997
